,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
MAP1LC3A,78,46,40,67,187,253,216,196,106,181,189,257,167,238,239,234
MAP1LC3B,1077,539,542,571,2347,1651,1892,1757,2734,3103,3774,3575,2734,3680,3582,3144
MAP1LC3B2,7,2,3,0,13,7,13,10,47,52,59,43,31,32,30,23
MAP1LC3C,2,5,5,4,11,11,13,13,17,47,46,36,18,50,39,22
MAP1S,373,275,232,251,796,949,947,781,537,667,572,564,354,1253,1113,738
MAP2,37,66,64,63,128,486,571,580,551,1772,4434,6963,501,2172,4364,7708
MAP2K1,446,319,289,233,787,1008,991,802,2382,1812,2025,1966,1209,1916,1920,1943
MAP2K2,1092,546,467,546,2795,2201,2046,1836,1736,1740,1534,1561,1253,2038,1787,1541
MAP2K3,315,228,249,188,666,721,668,618,2005,1436,1471,1224,1631,1487,1586,1566
MAP2K4,205,214,206,172,416,598,669,537,1032,1302,1508,1361,586,1140,1280,1386
MAP2K4P1,0,0,0,0,0,1,0,1,4,2,3,2,0,0,0,0
MAP2K5,162,107,77,74,380,250,238,217,382,338,327,368,288,354,351,325
MAP2K6,3,14,10,14,9,55,56,45,36,94,81,85,11,74,84,86
MAP2K7,340,347,310,267,725,1013,1062,868,753,975,961,911,666,1261,1199,878
MAP3K1,235,425,430,469,547,1159,1386,1188,976,3361,4320,4116,1163,3285,3833,3518
MAP3K10,181,130,138,142,348,416,408,422,241,259,273,357,293,408,439,393
MAP3K11,713,603,573,510,1243,1772,1803,1439,1241,1509,1309,1563,690,2173,1845,1399
MAP3K12,293,225,170,163,482,461,435,404,457,702,704,817,970,985,901,593
MAP3K13,168,125,155,148,357,446,392,358,872,852,1023,934,1009,936,942,945
MAP3K14,141,109,104,92,290,400,383,308,523,575,676,590,534,563,606,752
MAP3K14-AS1,12,15,12,13,20,39,60,30,34,80,83,105,44,107,77,87
MAP3K15,43,21,11,22,95,42,49,43,88,67,77,96,117,68,81,78
MAP3K19,4,0,1,2,0,0,0,0,0,0,0,0,0,1,16,1
MAP3K2,157,128,127,128,364,399,397,347,1063,1842,1984,1650,1091,2125,2208,1496
MAP3K3,83,137,108,94,241,456,441,313,652,834,874,770,302,924,856,711
MAP3K4,201,138,105,98,368,388,349,285,1177,851,925,769,736,886,885,746
MAP3K5,226,102,107,89,360,261,287,218,1086,457,693,640,956,611,790,703
MAP3K6,205,121,139,118,371,429,444,328,586,786,644,698,453,858,774,629
MAP3K7,312,296,240,263,716,839,811,724,1700,1811,2164,1814,1216,1946,1996,1606
MAP3K7CL,87,40,45,26,100,53,88,94,268,228,210,157,179,204,242,144
MAP3K8,59,33,26,25,158,101,88,78,412,224,241,157,654,375,319,277
MAP3K9,124,130,125,127,313,403,532,450,853,1459,1658,1539,638,1526,1870,1825
MAP4,2538,1572,1489,1455,6245,5612,5946,5402,10960,8971,10840,10442,5430,9321,10151,10556
MAP4K1,3,3,2,1,3,15,7,8,14,17,13,12,13,12,13,9
MAP4K2,84,73,62,65,223,282,273,226,405,460,419,429,201,483,452,482
MAP4K3,183,182,165,174,514,528,657,600,1401,1693,2466,2179,1062,1678,1887,1891
MAP4K4,1047,1091,872,770,2251,3273,3260,2599,8917,6737,6751,5442,4096,8071,7151,7776
MAP4K5,283,232,179,143,648,648,665,554,2135,1724,1847,1598,2072,1814,1771,1783
MAP6,5,11,11,12,3,16,40,28,16,33,72,69,12,44,68,37
MAP6D1,20,15,13,13,31,33,26,35,60,52,57,49,27,52,59,30
MAP7,245,357,309,402,446,834,968,907,1064,1204,1764,1938,896,1782,1957,1824
MAP7D1,1059,834,752,764,2292,2920,2901,2719,3191,2371,2440,2493,1503,3221,3218,3368
MAP7D2,21,40,19,16,63,101,92,88,71,89,101,79,23,46,35,46
MAP7D3,329,205,203,196,592,453,488,437,667,654,700,650,434,737,633,522
MAP9,140,198,155,175,267,534,480,478,853,1144,1592,1784,539,1242,1655,1503
MAPK1,796,685,677,616,1485,2206,2343,1933,3659,4222,5052,4952,1518,4256,4818,4387
MAPK10,32,39,29,42,73,104,116,110,145,321,389,361,202,292,358,237
MAPK11,65,35,51,60,85,153,155,129,279,207,228,342,129,166,196,313
MAPK12,201,136,129,93,345,291,315,228,616,337,382,419,450,306,306,392
MAPK13,376,442,354,334,729,1226,1205,868,2335,3203,3116,2703,1267,3310,2549,2657
MAPK14,285,263,262,229,582,911,920,775,1696,1941,2459,2172,1019,2154,2302,1986
MAPK15,47,38,28,41,70,111,93,64,46,143,129,141,248,237,237,111
MAPK1IP1L,739,558,465,472,1772,1665,1766,1468,3685,3751,4098,3138,2609,3547,3737,3023
MAPK3,720,299,279,311,1329,873,839,800,1246,996,1059,1034,656,828,849,887
MAPK4,2,0,0,2,1,6,10,12,7,23,32,50,1,21,32,21
MAPK6,356,225,270,251,808,759,824,734,2540,2493,2802,2484,1398,2821,2539,2047
MAPK7,214,173,144,152,378,482,539,462,403,573,604,516,292,747,688,421
MAPK8,145,145,171,127,322,424,484,359,991,1156,1362,1101,1010,1339,1405,1047
MAPK8IP1,104,144,126,134,219,464,470,354,217,272,338,400,197,373,453,329
MAPK8IP2,4,7,5,6,12,44,35,28,9,13,5,17,4,14,17,18
MAPK8IP3,770,505,498,458,1395,1506,1728,1318,1516,2473,2326,2426,3510,3548,3026,2176
MAPK9,171,155,155,172,420,501,477,423,1195,1155,1266,1117,601,1140,1091,1099
MAPKAP1,533,529,425,448,1080,1453,1425,1241,3113,2165,2360,2373,1253,2368,2259,2566
MAPKAPK2,1020,771,833,841,2179,2804,2945,2649,3129,4509,4790,4440,1770,4721,4735,4060
MAPKAPK3,1476,1589,1083,910,3202,5040,4248,2982,6599,6617,6054,5478,2454,6070,4820,6451
MAPKAPK5,182,148,151,121,411,409,463,370,855,826,919,847,508,896,804,775
MAPKAPK5-AS1,55,52,45,36,133,98,119,96,250,171,214,178,227,195,205,184
MAPKBP1,114,129,102,107,312,362,383,305,837,710,820,812,602,702,813,854
MAPRE1,722,662,543,547,1348,1861,2015,1625,4467,4005,4574,3942,1745,4128,4073,3690
MAPRE2,172,210,233,303,466,576,681,631,623,850,1164,1239,267,674,855,867
MAPRE3,132,108,110,136,232,320,363,356,221,316,393,415,212,287,334,356
MAPT,16,9,7,7,30,15,19,16,22,52,40,53,26,41,33,18
MAPT-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAPT-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARC1,45,47,39,26,126,139,126,104,314,268,267,229,138,296,269,259
MARC2,161,82,54,49,310,172,182,147,393,308,379,377,423,300,308,208
MARCH1,6,16,19,13,25,31,40,21,263,180,226,154,199,142,148,61
MARCH10,0,2,0,1,4,3,3,6,8,2,8,9,3,4,5,8
MARCH11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
MARCH2,161,162,124,135,309,489,429,401,622,579,627,688,350,437,483,597
MARCH3,5,20,8,6,7,43,34,18,15,36,34,33,6,49,49,30
MARCH4,14,2,1,0,49,18,17,10,257,28,34,12,55,36,30,76
MARCH5,268,259,214,198,571,670,666,591,1251,1776,2042,1837,863,1863,1791,1585
MARCH6,654,730,629,594,1473,1853,1980,1675,4106,8566,8980,8112,6014,10515,8944,6674
MARCH7,475,337,288,298,1040,1009,984,842,2636,2571,2858,2625,1781,2905,2801,2550
MARCH8,201,155,180,199,413,493,577,521,834,1360,1333,1247,430,1411,1321,872
MARCH9,221,153,186,166,383,527,483,422,326,348,453,414,356,426,460,352
MARCKS,1057,576,625,747,1783,1711,1735,1643,3632,2178,2949,2612,1892,2240,2709,2671
MARCKSL1,877,1149,1004,921,2616,3781,3592,3225,1887,3675,4184,3736,914,4847,4982,3742
MARCO,1,0,0,0,0,2,1,0,1,2,3,0,4,7,2,5
MARK1,15,23,25,24,69,90,90,68,164,184,280,323,143,215,262,360
MARK2,236,323,299,294,607,1009,1167,981,960,1315,1474,1533,399,1735,1792,1714
MARK2P9,0,0,1,0,0,0,1,0,1,3,1,2,5,2,4,3
MARK3,475,424,352,334,1035,1245,1180,1073,2335,2065,2430,2357,2313,2132,2317,2265
MARK4,572,395,342,326,1163,1152,1091,1005,715,895,979,1000,564,1191,1109,1102
MARS,913,598,498,457,2679,1726,1979,1618,3864,3286,4379,3713,3442,3257,3956,3991
MARS2,93,81,68,68,188,216,199,173,281,312,429,302,138,335,432,280
MARVELD1,251,345,249,237,486,1014,874,668,963,984,1106,881,309,893,918,867
MARVELD2,31,55,63,48,80,216,216,216,148,418,660,656,55,519,687,703
MARVELD3,11,21,17,22,19,70,77,91,72,201,315,364,89,225,332,382
MAS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAS1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASP1,17,15,19,33,22,6,14,26,26,48,65,83,16,81,86,27
MASP2,15,17,14,17,46,44,49,36,331,225,166,164,655,186,137,121
MAST1,15,1,3,3,34,11,16,12,19,11,10,7,29,18,15,14
MAST2,294,260,226,208,771,727,790,695,1357,1096,1148,1360,1080,1063,1113,1369
MAST3,65,59,64,49,131,169,162,167,199,239,312,349,162,238,295,224
MAST4,59,106,85,104,140,357,427,341,653,567,900,1008,889,730,1014,1556
MASTL,60,64,55,53,126,181,140,139,776,462,496,372,396,545,560,405
MAT1A,1,1,2,0,1,8,8,7,0,8,8,13,1,13,26,13
MAT2A,1736,1300,1534,1205,4324,3925,4212,3332,11366,11200,11974,7383,13577,8729,9419,6974
MAT2B,295,301,341,267,634,1020,1011,813,1886,2115,2622,2277,1050,2252,2448,2034
MATK,3,2,1,0,43,8,7,2,23,5,1,2,24,3,1,0
MATN1,0,0,1,1,2,1,2,2,3,3,6,4,9,3,2,4
MATN1-AS1,3,5,6,3,19,17,11,11,20,27,17,12,36,25,28,13
MATN2,37,51,41,31,119,223,230,211,293,746,756,583,86,349,341,465
MATN3,24,12,14,9,30,28,34,44,123,111,182,155,143,84,112,122
MATN4,0,0,0,1,2,2,0,0,1,2,0,0,1,2,5,2
MATR3,1312,1342,1237,1132,3204,3839,3957,3399,10383,9008,10538,9731,5451,9787,10323,8836
MAU2,248,245,232,219,526,769,930,714,909,1569,1659,1513,740,1789,1758,1482
MAVS,604,529,529,533,1248,1784,2038,1766,3009,3862,5172,4972,2521,4682,5625,5814
MAX,298,259,278,208,682,804,782,609,777,770,964,738,526,1004,1015,770
MAZ,882,620,631,693,1824,2103,2031,1843,2553,2070,2189,1927,1500,2469,2534,2182
MB,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MB21D1,9,7,3,4,22,10,9,6,78,54,50,31,28,37,55,18
MB21D2,35,25,28,32,85,90,126,90,292,260,378,310,135,226,303,276
MBD1,353,333,334,297,773,1007,995,884,1321,1632,1747,1723,1150,1820,1976,1617
MBD2,566,484,506,505,1194,1632,1871,1713,2385,2497,2954,2533,1721,2523,2497,2195
MBD3,420,436,391,362,673,1233,1132,972,1272,924,813,1052,665,1439,1458,1099
MBD3L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD3L5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBD4,306,225,184,174,608,537,527,446,1137,822,1013,892,1121,1031,1114,800
MBD5,138,130,157,150,284,421,430,410,315,653,851,777,321,732,935,681
MBD6,389,289,266,267,842,857,965,778,952,1233,1443,1446,673,1237,1373,1300
MBIP,131,114,94,71,238,312,253,265,540,437,478,406,422,493,436,385
MBL1P,1,5,3,1,2,3,6,4,12,18,30,30,9,17,32,18
MBL2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MBLAC1,8,7,7,7,11,22,30,27,26,29,26,30,13,54,29,21
MBLAC2,37,26,29,33,82,79,89,90,140,167,255,186,113,208,253,185
MBNL1,273,208,181,198,569,683,649,585,2793,2104,2178,2089,1432,2099,1997,2142
MBNL1-AS1,2,3,4,1,10,9,11,11,21,27,31,18,15,32,31,24
MBNL2,321,166,180,180,925,516,533,489,1294,1199,1517,897,1138,1192,1479,795
MBNL3,82,80,91,68,173,216,224,211,504,603,618,575,232,768,741,487
MBOAT1,26,35,23,27,109,116,150,119,479,258,426,395,392,198,255,352
MBOAT2,104,152,136,125,205,330,350,290,871,950,1096,1020,719,974,1058,1214
MBOAT4,0,2,1,1,0,5,3,0,2,7,4,4,4,5,4,2
MBOAT7,1218,605,648,664,2415,1918,1941,2037,1833,1414,1859,2191,1473,1913,2332,2880
MBP,228,191,241,216,533,786,1010,814,983,2667,3278,2480,544,2436,2865,1966
MBTD1,115,79,87,73,259,257,296,254,532,959,1044,903,627,1108,1047,764
MBTPS1,573,617,561,580,1281,1803,1892,1666,2704,3188,3708,3596,1639,3554,3729,3955
MBTPS2,186,166,155,137,368,443,467,372,834,961,1138,1039,340,1017,1041,968
MC1R,48,50,46,38,95,143,152,137,210,244,243,257,288,217,256,183
MC2R,0,0,0,1,1,5,3,6,11,12,12,9,15,9,13,10
MC3R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC4R,0,2,2,0,5,3,4,7,5,4,24,9,3,5,6,9
MC5R,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
MCAM,636,262,233,192,1926,1181,1277,1027,2993,2054,2236,1955,1398,2360,2302,1794
MCAT,163,148,124,129,339,417,416,381,446,487,441,387,273,512,436,362
MCC,69,74,53,69,117,176,177,169,400,325,438,441,207,308,424,459
MCCC1,230,200,219,190,383,503,529,450,850,1272,1301,1211,614,1338,1181,851
MCCC2,612,699,627,660,1489,1899,2202,1875,2145,3780,4602,4123,1372,4177,3675,3216
MCCD1,2,6,6,2,4,7,7,2,1,33,12,9,1,36,16,3
MCEE,19,14,20,11,27,61,50,56,77,113,96,105,83,99,105,63
MCEMP1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
MCF2,1,1,0,1,1,3,3,2,0,10,8,7,8,16,14,1
MCF2L,54,81,90,83,167,220,260,234,185,267,361,528,270,399,452,494
MCF2L-AS1,1,4,4,5,15,16,9,25,6,19,28,38,9,9,24,22
MCF2L2,14,7,7,9,7,8,7,13,25,22,23,33,35,29,29,18
MCFD2,858,751,649,506,1656,2153,1873,1470,4203,4258,4576,3806,1973,4972,4815,3925
MCHR1,2,2,3,2,8,16,12,15,16,14,21,16,9,4,11,6
MCHR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCHR2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCIDAS,5,7,5,6,14,10,6,14,17,11,13,15,10,14,30,15
MCL1,3761,1129,1148,1104,8993,3586,3820,3326,14999,7151,8871,7907,12849,7241,8140,8444
MCM10,6,11,7,4,17,54,27,16,752,170,128,43,143,167,126,129
MCM2,109,122,95,76,295,480,344,286,2637,1066,938,682,617,1068,926,820
MCM3,247,277,186,196,561,904,715,487,4590,2087,1998,1514,1359,1927,1891,1688
MCM3AP,255,230,227,209,620,840,834,696,2127,1927,2084,2285,1353,2043,2143,2138
MCM3AP-AS1,5,13,8,4,19,22,32,25,76,116,149,117,121,97,119,101
MCM4,157,189,138,132,366,666,571,416,5068,2433,2216,1511,1719,2324,2022,1861
MCM5,181,121,102,88,460,555,385,287,3339,1192,900,526,1041,1128,843,754
MCM6,173,90,66,73,375,326,273,180,2798,1168,1030,573,785,1077,958,813
MCM7,307,298,253,195,911,943,841,599,7317,2930,2418,1586,3445,2903,2577,2169
MCM8,56,60,49,33,120,160,144,114,931,361,417,327,285,392,410,329
MCM9,50,35,48,55,113,152,167,116,348,514,591,410,248,557,590,387
MCMBP,348,236,253,231,816,808,850,646,2462,1637,1629,1322,1005,1726,1654,1173
MCMDC2,4,3,2,7,19,13,11,8,52,25,40,40,43,27,38,28
MCOLN1,104,122,172,143,272,420,526,498,302,432,562,642,158,546,585,557
MCOLN2,0,0,0,1,11,13,12,14,23,7,24,13,113,114,86,1
MCOLN3,13,10,11,8,136,95,122,78,252,318,389,341,269,406,380,89
MCPH1,127,99,81,64,246,241,232,188,498,459,485,451,304,541,520,468
MCRS1,272,219,278,234,656,809,869,717,1565,1585,1620,1563,1135,1602,1570,1346
MCTP1,62,66,56,50,103,147,139,106,331,227,268,263,168,326,317,239
MCTP2,123,62,67,62,123,114,125,108,226,222,274,308,412,192,220,252
MCTS1,162,149,111,121,400,457,376,335,1224,1044,1367,1116,937,1058,1165,1017
MCTS2P,7,3,8,5,18,27,21,25,46,51,59,40,38,58,44,45
MCU,424,350,372,410,835,1291,1438,1205,1180,1996,2472,2185,718,1689,1907,1969
MCUR1,179,146,136,140,347,495,481,401,860,1201,1325,990,520,1310,1260,842
MDC1,194,174,195,216,436,628,587,531,1461,1414,1555,1419,862,1296,1420,1083
MDFI,32,21,12,6,115,146,101,83,288,233,241,237,208,283,271,379
MDFIC,137,128,104,100,219,369,294,216,908,707,715,566,413,856,722,614
MDGA1,109,157,125,106,131,301,300,255,272,721,485,329,72,631,435,347
MDGA2,1,0,0,0,1,1,1,1,6,5,6,12,2,8,5,12
MDH1,700,637,623,606,1394,1666,1750,1668,4255,3739,4459,4308,2607,3717,3821,3110
MDH1B,6,34,32,25,19,52,55,37,70,70,117,103,39,71,116,62
MDH2,1358,894,845,878,3319,2871,3209,2766,4384,3967,4280,4164,2382,3587,3538,3410
MDK,853,1286,851,539,3696,4750,3854,2584,545,2746,3062,2408,976,4728,4291,1917
MDM1,28,48,48,29,73,125,120,104,268,203,292,313,114,234,305,246
MDM2,308,480,384,301,775,1248,1056,801,3433,3179,3787,3416,3829,3179,3287,3678
MDM4,114,125,110,90,265,254,270,241,1108,1426,1714,1597,2032,1055,1134,1138
MDN1,235,180,192,210,531,503,662,507,2100,1867,2246,2149,1860,2639,2890,2553
MDP1,8,10,7,3,22,22,26,14,36,27,26,29,26,47,35,22
MDS2,0,0,0,0,1,0,1,1,0,0,1,2,0,0,2,0
ME1,183,92,88,93,350,325,360,356,1068,987,1110,1029,624,767,670,748
ME2,381,348,238,228,878,847,892,644,1811,1243,1470,1347,1015,1146,1195,1171
ME3,170,80,64,59,468,248,234,180,591,535,529,436,620,481,425,370
MEA1,254,318,222,242,596,842,720,595,1340,1103,1084,998,682,1216,1187,973
MEAF6,340,374,345,326,896,1056,1122,960,1326,1588,2032,1938,799,1758,1829,1602
MECOM,150,233,225,272,560,1343,1323,1237,1388,3782,3942,3304,884,3733,3968,2971
MECP2,295,317,297,303,696,1099,1132,917,1143,1955,2420,2037,1066,2200,2527,1732
MECR,211,106,95,97,508,301,327,305,641,502,553,444,534,542,514,410
MED1,343,347,323,330,743,1124,1193,934,1830,2359,2643,2368,958,2851,2866,2464
MED10,149,99,103,82,355,313,314,301,868,667,741,606,592,783,677,625
MED11,81,100,89,73,166,295,253,201,336,331,356,319,217,325,328,338
MED12,292,294,220,210,599,848,718,732,878,1433,1586,1511,663,1511,1548,1498
MED12L,8,10,17,16,7,33,41,31,39,109,147,170,34,78,109,127
MED13,253,253,279,252,591,865,940,803,1988,3341,4226,3430,1409,3986,4508,3179
MED13L,387,400,361,359,806,1042,1226,980,2300,3347,3274,2989,1857,3992,3837,3137
MED14,450,288,277,267,844,807,917,821,1877,1813,2128,1986,1064,1724,1975,1809
MED14OS,4,5,5,5,19,23,16,26,18,26,29,18,5,20,35,21
MED15,609,443,479,439,1299,1521,1514,1405,2043,1906,2112,2347,1319,2141,2356,2426
MED15P9,0,1,0,1,1,0,1,2,11,6,12,8,15,12,4,11
MED16,469,448,388,351,1139,1380,1329,1118,1036,1031,1012,1115,611,1546,1490,1108
MED17,166,174,161,127,377,470,427,376,749,895,1240,923,583,977,1211,816
MED18,62,67,72,59,139,253,235,186,396,330,472,458,253,359,443,378
MED19,128,109,89,71,256,323,303,287,201,211,278,217,161,202,267,213
MED20,112,111,122,120,256,402,390,339,523,494,815,820,238,574,800,749
MED21,137,122,124,104,249,333,314,309,738,646,850,850,657,722,804,658
MED22,166,205,190,170,361,706,734,549,904,1107,1243,1108,453,1365,1385,1152
MED23,187,214,166,149,384,595,508,501,852,925,1329,1356,848,1005,1354,1221
MED24,389,375,338,372,859,1150,1193,1069,1797,1979,2067,2153,1131,2112,2104,1890
MED25,510,411,354,358,1188,1343,1400,1255,946,974,939,1159,644,1354,1356,1120
MED26,65,65,90,56,130,230,281,219,219,221,271,215,258,258,265,193
MED27,117,95,97,84,298,303,322,275,614,417,412,384,347,393,400,388
MED28,87,80,91,59,254,224,225,159,741,525,687,616,485,516,674,555
MED29,375,428,388,372,893,1350,1282,1125,1226,1720,1917,1820,900,2234,2253,1530
MED30,36,31,11,14,126,44,41,48,219,64,79,76,165,73,87,70
MED31,15,14,19,11,44,48,58,47,148,74,122,120,84,82,100,82
MED4,92,80,85,94,206,286,269,258,789,711,869,716,472,825,843,690
MED4-AS1,0,0,0,0,0,0,0,0,1,1,0,1,2,2,4,1
MED6,115,99,75,79,255,277,280,210,676,481,485,422,579,498,464,417
MED7,80,63,56,53,172,220,208,187,445,414,562,497,325,414,543,451
MED8,187,195,131,120,401,481,407,368,921,747,871,716,545,870,835,742
MED9,85,83,75,65,208,298,280,209,341,359,451,341,246,433,515,306
MEDAG,0,0,1,0,5,1,3,2,7,1,1,1,5,2,4,1
MEF2A,411,359,288,324,960,1140,1227,1154,1627,3048,3415,3214,1447,3313,3275,2788
MEF2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEF2BNB,41,59,31,36,113,117,121,127,257,242,300,279,164,262,259,250
MEF2BNB-MEF2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEF2C,13,18,12,6,40,57,93,61,169,256,304,231,138,381,320,230
MEF2C-AS1,0,0,0,0,0,3,3,3,1,0,4,3,5,0,2,2
MEF2D,489,273,269,219,1017,844,917,762,1765,1603,1547,1516,2343,2117,1885,1526
MEFV,3,2,1,3,6,7,12,7,21,33,33,27,47,22,15,25
MEG3,4,2,0,5,14,41,34,31,39,39,43,51,141,94,154,166
MEG8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG9,13,11,10,1,16,25,16,11,11,34,14,12,38,51,28,44
MEGF10,0,0,0,0,1,0,1,2,1,2,1,5,0,1,2,2
MEGF11,104,357,316,303,305,1029,893,762,525,868,1211,1384,474,1592,2288,1282
MEGF6,48,79,69,65,141,208,278,257,461,506,507,738,383,738,783,998
MEGF8,670,485,537,584,1343,1744,1823,1615,1960,2180,2388,2805,1222,3404,3367,2673
MEGF9,229,175,236,234,637,722,880,754,972,2186,2436,2282,566,2469,2157,3087
MEI1,1,1,3,1,3,7,2,4,9,7,9,6,7,8,4,5
MEI4,1,3,1,2,4,6,8,4,9,11,20,12,2,9,14,8
MEIG1,0,0,0,0,0,2,1,5,2,1,2,2,2,2,3,1
MEIOB,8,0,0,4,18,3,0,1,42,10,14,9,67,9,5,6
MEIS1,17,30,18,23,40,77,73,49,81,56,79,91,78,90,86,63
MEIS1-AS3,0,0,0,1,3,2,4,0,4,3,3,4,4,0,3,1
MEIS2,33,25,37,23,79,60,69,64,118,77,74,44,87,89,113,77
MEIS3,50,22,34,32,66,87,84,82,39,50,50,66,47,68,70,62
MEIS3P1,113,112,91,84,270,317,321,298,422,742,810,663,219,793,681,533
MELK,52,35,33,21,101,166,109,92,1516,485,398,257,369,385,356,373
MEMO1,239,166,165,151,445,457,493,458,1038,811,833,866,568,788,739,901
MEN1,386,293,252,238,814,832,852,712,938,666,897,837,599,804,942,790
MEOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEOX2,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0
MEP1A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEP1B,0,0,0,0,0,0,1,1,1,5,3,1,3,1,3,0
MEPCE,250,277,301,277,531,972,958,848,906,1053,1228,1035,549,1204,1443,938
MEPE,0,0,0,0,1,0,0,4,1,0,1,0,10,1,3,0
MERTK,46,77,79,53,314,407,485,373,603,1441,1689,1656,302,836,878,1000
MESDC1,171,139,142,137,316,434,434,385,410,311,347,236,283,437,405,300
MESDC2,202,180,178,195,416,541,537,464,1469,1118,1440,1317,789,1483,1538,1307
MESP1,20,19,15,29,33,30,49,40,21,12,16,30,24,19,21,13
MESP2,2,2,4,1,3,5,3,4,5,3,2,2,4,4,2,3
MEST,23,70,59,82,203,440,534,553,195,438,656,689,148,464,661,365
MESTIT1,1,2,2,1,5,13,7,12,17,6,10,12,12,14,26,14
MET,2838,2635,2320,2102,5015,6767,6649,5363,12914,17013,18485,18369,7779,19276,17951,16261
METAP1,480,337,308,317,1127,1131,1104,850,2805,2281,2527,2254,1507,1957,2066,2269
METAP1D,24,13,19,9,43,30,34,26,128,74,106,89,102,80,88,76
METAP2,499,358,273,253,1199,975,849,725,2750,1882,1999,1593,1727,2024,1773,1652
METRN,571,332,314,319,1148,1219,1045,962,482,206,182,268,398,413,460,281
METRNL,30,25,37,40,105,126,141,158,40,118,163,155,21,201,235,176
METTL1,85,64,44,52,220,182,176,160,561,319,355,284,412,345,304,289
METTL10,69,47,25,34,122,93,83,85,395,304,321,295,204,236,249,292
METTL11B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
METTL12,10,10,7,10,22,22,32,24,61,39,43,48,39,33,49,49
METTL13,164,205,160,164,360,615,597,475,1088,791,1163,1148,394,740,1095,1254
METTL14,104,84,84,82,224,222,262,223,464,516,685,570,285,544,634,507
METTL15,127,92,73,72,316,252,243,230,760,564,692,783,567,580,594,577
METTL16,139,130,127,106,281,400,359,329,608,565,758,712,339,710,773,646
METTL17,138,134,132,128,369,419,443,340,916,855,959,858,494,755,708,564
METTL18,35,22,13,25,39,58,59,46,121,117,150,121,93,143,152,124
METTL20,5,6,7,9,14,25,29,19,49,67,75,75,43,59,73,41
METTL21A,217,228,218,199,487,600,630,567,1059,1090,1243,1257,1313,1199,1138,1028
METTL21B,39,34,25,28,86,62,90,61,172,171,257,230,176,209,217,112
METTL21C,1,1,1,0,0,0,3,1,0,6,9,9,4,8,8,5
METTL21EP,0,0,0,0,0,0,0,0,2,1,4,5,7,6,5,2
METTL22,86,68,56,37,166,171,133,89,321,256,284,217,279,316,266,211
METTL23,118,103,116,88,281,277,262,234,497,396,434,449,389,373,375,345
METTL24,2,3,6,5,3,7,9,6,4,8,15,18,7,7,10,8
METTL25,17,20,22,22,57,71,108,56,122,141,176,168,87,166,175,169
METTL2A,60,54,62,38,124,136,138,126,324,298,359,345,234,308,362,347
METTL2B,65,65,49,43,140,172,147,138,332,320,423,354,183,262,323,327
METTL3,147,165,114,121,369,422,413,313,1172,879,976,887,1125,803,900,910
METTL4,66,46,40,42,106,112,117,101,425,319,361,344,273,241,295,297
METTL5,236,135,120,110,476,439,402,340,945,711,761,628,837,658,616,604
METTL6,60,34,42,41,123,164,142,126,367,262,339,293,179,308,316,277
METTL7A,28,138,180,142,94,274,281,249,297,492,540,716,116,544,458,231
METTL7B,44,120,117,136,48,175,196,186,79,246,264,301,69,243,260,102
METTL8,63,30,42,40,138,127,142,103,535,329,393,389,380,286,363,379
METTL9,1060,997,941,929,2293,2544,2401,2231,2874,3530,3706,3439,2133,4307,3860,2319
