Symbol,B3B,B4B,B5B,B6B,B8B,B9B
PICK1,10.89268889,10.52113435,10.7596058,10.78877035,10.5069965,10.74704613
PID1,9.029184317,8.818745032,8.843544751,8.776629786,8.892449188,8.631393065
PIDD1,10.27794091,9.992688556,10.43150397,9.988492864,9.854530799,10.27042633
PIEZO1,13.51888879,12.97030003,13.18264879,12.77387019,12.67626619,12.8329366
PIEZO2,10.1032079,9.918053659,10.50837722,10.26217207,9.486756809,9.804852829
PIF1,5.80223584,5.372307897,5.648311927,5.537832656,5.598883033,5.688047897
PIFO,8.53084937,8.100208944,8.088773556,8.327004726,7.952793056,8.192831146
PIGA,8.343672449,8.668616798,8.205001002,8.557156111,8.257642049,8.25096286
PIGB,8.599388248,8.836246464,8.870514541,8.647826552,8.816256162,8.590778839
PIGBOS1,7.249147734,7.275878316,7.220254847,7.440815337,7.422125377,7.542819967
PIGC,9.180881849,8.8479905,8.97797332,9.213749205,9.270048123,8.940909883
PIGF,7.584981797,7.658882761,7.519820427,7.760857671,7.90701305,7.390151509
PIGG,11.29499234,11.52360484,11.23376218,11.18161267,11.24635604,11.30064563
PIGH,9.212866742,9.325827569,9.21748354,9.710750958,9.706260224,9.399108393
PIGK,10.0364936,10.40003424,9.926792996,10.31725055,10.00249153,10.10362189
PIGL,9.373945338,9.536204185,9.596281213,9.167280332,9.542990741,9.173796515
PIGM,9.701090845,9.808920302,9.74027139,9.877611638,9.659243277,9.765637145
PIGN,10.00903686,10.29886713,9.92897854,10.01928756,10.3214119,10.13254571
PIGO,11.77922571,11.93137424,11.9092153,11.74837352,11.40963078,11.77148417
PIGP,8.53565583,8.956362369,8.126066418,8.878218218,8.991855251,8.804041539
PIGQ,12.45074328,12.07480124,12.90136097,12.41243785,12.16227008,12.59614082
PIGR,15.39118316,15.03537442,14.74255347,15.00803398,13.71050647,14.74960524
PIGS,11.91385948,11.96792118,11.91306557,11.84426411,11.68520286,11.9415391
PIGT,11.77082049,11.85438278,11.92659794,11.83909712,11.82171053,11.6059299
PIGU,9.65968949,9.598180807,9.825458055,9.756425914,9.568817396,9.632953827
PIGV,10.3756879,10.75585526,10.54058774,10.30455389,10.56519123,10.68301679
PIGW,8.365448265,8.289661518,7.96749329,8.494777015,8.052665898,8.177175534
PIGX,9.176861781,9.038682415,8.97797332,8.978723004,9.045206642,9.134278974
PIGZ,7.507419399,7.465538654,7.546073412,7.290811357,7.579380625,7.805247074
PIH1D1,10.96696468,10.89285779,11.0612541,10.77756653,11.24556907,10.77064006
PIH1D2,7.205619304,7.791242446,7.0834968,6.988222939,7.034611952,7.454390585
PIK3AP1,11.14408368,10.69847638,10.86278607,11.0436431,10.92984937,11.22921144
PIK3C2A,12.52878953,12.72136827,12.4255936,12.70558685,12.52018481,12.67342687
PIK3C2B,11.93457,11.79840049,12.09432815,12.09678732,12.03073381,11.95954567
PIK3C2G,9.787375626,10.23203957,10.23185687,10.37276627,10.0682777,10.17709876
PIK3C3,11.01680885,11.40482282,10.94189339,10.89585581,11.03503234,11.02326704
PIK3CA,10.29640722,10.66550515,10.24778002,10.52722659,10.45535809,10.47642102
PIK3CB,11.73662818,12.01699821,11.61473047,11.63234968,11.7740181,11.78947403
PIK3CD,10.89424967,10.52808671,10.89121309,10.63931553,10.56877195,10.74892481
PIK3CD-AS1,5.098992931,4.816857144,5.34440738,4.611453344,5.561965266,4.48976125
PIK3CD-AS2,7.733233791,7.437881034,7.836141138,7.712230239,7.933611176,7.017875979
PIK3CG,8.608538094,8.198063034,8.35540071,8.224847535,8.760739662,8.031653419
PIK3IP1,10.86190217,11.0044354,10.88481168,10.55651058,11.21715908,10.65569178
PIK3R1,12.23056534,12.51660604,12.25230163,12.56295412,12.1608694,12.48349346
PIK3R2,12.27101742,11.79241609,12.22345891,12.12514164,11.6760385,12.2112705
PIK3R3,11.53765831,11.41579604,11.39136381,11.68593831,11.67099804,11.46910817
PIK3R4,11.37376765,11.67099804,11.41293056,11.42112326,11.35405648,11.39566849
PIK3R5,8.047319306,7.410012759,8.186956206,7.753721096,7.941234289,7.405704022
PIK3R6,5.7263593,5.279059549,5.811776068,5.855573793,5.372307897,5.418447844
PIKFYVE,12.48906735,12.78930985,12.52128219,12.48119836,12.72499457,12.416255
PILRA,7.922324877,8.242579061,8.35540071,8.224847535,8.169435212,7.89156947
PILRB,6.449496647,6.666443994,6.772566719,6.385720476,6.214903008,6.319137903
PIM1,10.35168781,10.39054598,10.43603221,10.13859581,10.52352292,10.24794318
PIM2,9.130613508,8.994200882,9.213749205,9.116386296,9.23233161,8.857841474
PIM3,11.48775802,10.97358427,11.70297846,11.57967052,11.78368882,11.51036835
PIN1,10.56975239,10.36571433,10.64482786,10.46061276,11.23044322,10.53748471
PIN4,8.858331121,8.999809879,8.698928029,8.851831734,9.072794552,8.7714504
PINK1,11.76887768,11.56865877,11.80376852,11.72126622,12.0989284,11.77422167
PINK1-AS,9.024921934,9.180881849,9.15383359,8.87387379,8.452420859,9.110718931
PINLYP,7.833015681,7.844942509,8.126066418,7.868673395,8.69584242,7.761290875
PINX1,8.372797243,8.464487385,8.67558799,8.747586723,8.827699824,8.705627783
PIP4K2A,11.40669437,11.40899446,11.10564242,11.21190746,11.01450692,10.85523711
PIP4K2B,12.58289427,12.56716464,12.73803591,12.62725099,12.50564115,12.52128219
PIP4K2C,11.76352692,11.12698689,11.72918746,11.78146228,11.44415592,11.52792498
PIP5K1A,11.73952903,11.8392921,11.75559285,11.73993162,11.7797713,11.76700995
PIP5K1B,9.424443576,9.75951085,9.463987591,9.670742028,9.165422677,8.880845316
PIP5K1C,12.04213502,11.58758197,12.00171016,11.85158042,11.34291574,11.95003098
PIP5K1P1,6.663363294,6.713575283,7.0834968,6.269634948,6.590414655,5.989383206
PIP5KL1,6.0632697,5.897200788,5.975863005,6.063974857,5.372307897,6.087031264
PIPOX,13.23194479,13.87598552,13.82950736,13.42586437,13.7539394,13.51888879
PISD,11.25113625,10.95982111,11.04930562,10.98433842,10.96592582,11.09021416
PITHD1,10.44938623,10.56555465,10.36935066,10.42498544,10.74673793,10.44616319
PITPNA,11.82638993,11.80952221,11.8204384,11.84894166,11.71405148,11.8431596
PITPNA-AS1,6.9604928,6.713575283,6.99268746,7.335755195,7.556536568,6.88342379
PITPNB,9.599763051,10.00767654,9.779653761,9.857491509,9.865313913,9.762191248
PITPNC1,11.15087256,11.09604137,11.06237194,11.08378948,11.19840579,11.12479428
PITPNM1,11.85785021,11.49456848,11.74816174,11.79335437,11.54623517,11.84602464
PITPNM2,11.93338634,11.9666193,12.37349523,12.52620031,11.46525306,12.38117157
PITPNM3,10.20629717,10.29350222,10.29771449,10.1640908,10.23821628,10.34534546
PITRM1,11.5673736,11.67099804,11.57468418,11.53606779,11.05873055,11.70999968
PITRM1-AS1,7.726356834,8.138707786,7.820464132,8.026987528,7.469632745,7.845272881
PITX2,4.878196784,5.41360429,6.04323356,7.488274437,6.165721677,6.112636244
PIWIL2,6.250621946,6.713575283,6.448660037,6.582773039,5.699513333,6.192062729
PIWIL4,6.907515033,7.350341069,7.324635873,7.050307589,6.696966592,7.0474519
PJA1,10.00385323,9.848435129,9.911849919,9.868332821,9.873972515,10.06934337
PJA2,12.45228348,12.82602824,12.48495239,12.57337516,12.43232163,12.62154863
PKD1,13.42425673,12.88645187,13.38907487,13.13541811,12.85330981,13.35498969
PKD1L1,8.140716481,7.944931383,8.601808559,8.139820236,7.89899672,7.43290577
PKD1L2,5.057898731,6.064624156,4.863434937,5.751739612,5.852810067,6.294940038
PKD1L3,7.013702751,7.682220962,7.494383821,7.396794166,7.103263002,7.288271463
PKD1P1,12.16682591,11.70081823,12.27528995,12.12077707,11.5922275,12.11558631
PKD1P6-NPIPP1,11.0290506,10.95299862,11.36497261,10.72548298,10.21598229,11.16440437
PKD2,12.30966617,12.37295495,12.25316166,12.35949953,12.37273593,12.50564115
PKDCC,11.03770317,10.38523694,11.0876853,10.91500602,11.12997286,10.71406785
PKDREJ,7.495389884,7.382723758,7.810284556,7.243025675,7.527446529,7.266864208
PKHD1,15.94524494,16.17491885,15.8259157,15.54868947,16.32461221,16.07538853
PKHD1L1,8.240109898,6.519210946,8.186956206,7.681821418,6.119404537,7.569608176
PKIA,6.619344412,6.84127123,6.840615627,7.229554659,7.69020755,7.251932049
PKIB,5.7263593,6.586896726,5.780940642,6.513865283,6.03183144,5.688047897
PKIG,11.44548993,11.21977715,11.44620661,11.33971972,11.93107686,11.27825543
PKLR,12.18757754,11.92107293,12.45532314,12.18779826,11.75583187,12.10352378
PKM,14.13292767,14.03645001,13.9629618,13.97316855,14.15120245,14.44031147
PKMYT1,4.955007674,3.580475988,4.183246058,4.282652753,3.785704203,3.612535778
PKN1,12.13667346,11.78980814,12.22345891,12.14390361,12.40280084,12.22429655
PKN2,11.34882936,11.59130434,11.27065653,11.48789945,11.36594226,11.45938701
PKN3,8.959351674,7.965758952,8.65116815,8.791752854,8.616044295,8.687331532
PKNOX1,10.11530061,10.19436508,10.34312519,10.35472546,10.16625654,9.990857928
PKNOX2,8.58053595,8.994200882,8.371310859,8.302783175,8.39950776,8.511359403
PKP1,6.449496647,7.335502001,6.840615627,6.988222939,6.866000717,7.134375801
PKP2,10.46880543,10.5730171,10.64662259,10.49949768,10.35347604,10.47767643
PKP3,7.294305651,5.829800005,6.469627561,7.154621124,6.940840037,7.335502001
PKP4,13.78291976,13.84927131,13.6582887,13.97020446,13.70859005,13.81195716
PKP4-AS1,9.6188214,10.07720407,9.735884221,9.647981129,9.341149289,9.829984213
PLA1A,9.00483234,8.859715654,8.837172895,9.476805421,9.121151761,8.648779611
PLA2G12A,11.29638349,11.12295655,11.04793232,11.18702158,11.17871927,11.09224528
PLA2G12B,10.11986363,10.89057324,10.57517778,10.24729051,10.53893339,10.20589503
PLA2G15,11.76222598,11.87327084,11.81457234,11.64291139,11.83870479,11.73993162
PLA2G16,11.53606779,11.6173166,11.67237043,11.65148997,11.90575442,11.58659069
PLA2G2A,0.397763887,3.170508835,4.670280168,1.387928501,0.538265459,0.399363645
PLA2G2D,2.637020426,1.989117181,2.69459396,4.147195984,0.397763887,1.78696652
PLA2G4A,8.39890795,8.189037611,8.003255066,7.917070756,8.582687976,8.052868623
PLA2G4B,6.304318465,6.519210946,6.642380495,6.76885283,5.916543851,6.112636244
PLA2G4C,9.27348399,9.859279835,9.319114909,9.228423776,10.17441979,10.21977544
PLA2G4F,11.310234,11.38630824,11.89416906,11.52400525,10.99240201,10.98033848
PLA2G6,11.41302882,11.2472295,11.29723001,10.99629884,10.50193209,11.10215284
