Symbol,N2A,N3A,N5B,N6B,N7B,N8B,N10B,N12B,N13B
NFKBIA,11.44106825,11.55603432,12.32109238,12.56578325,11.64720784,11.93155833,12.33673057,11.95452516,13.37932554
NFKBIB,10.30717413,10.19220725,10.61467737,10.71865642,10.5534262,10.51830925,10.56836454,10.74913829,10.78972195
NFKBID,9.363717167,9.154890409,9.939862878,10.31618421,9.993091967,9.788149542,9.460861029,9.409859556,10.96802416
NFKBIE,8.805192522,8.93018956,9.287975417,9.721165183,9.161681198,9.360174767,9.810753361,9.253913383,10.34027035
NFKBIZ,10.64009866,10.45771323,10.97299817,12.09386261,11.75141524,11.13287263,11.43563299,10.613403,12.51203352
NFRKB,11.61133685,11.79826447,11.71633933,11.60176901,11.67039349,11.73928535,11.50266917,11.59954631,11.52468629
NFS1,11.3359588,11.58659069,11.42093564,11.28093306,11.38455831,11.4287137,11.12534664,11.28548895,11.05254099
NFU1,9.62724718,9.763657789,9.809672308,9.780328101,9.643195807,9.7140928,9.379915571,9.517477351,9.845920239
NFX1,11.77922571,11.90019098,11.78769554,11.71633933,11.73251692,11.68419332,11.64230931,11.6059299,11.7963098
NFXL1,9.453444023,9.55847296,9.382855415,9.191964549,9.315074662,9.188048881,9.27725346,9.304758734,9.057106984
NFYA,10.87758544,10.88143401,10.98798815,10.74206031,10.71831053,10.92296897,10.75702422,10.76368653,11.02998285
NFYB,9.774592978,9.800455028,9.728607298,9.613658263,9.633982533,9.604696669,9.336246327,9.41472861,9.623038722
NFYC,11.51154125,11.55371531,11.5280766,11.49000264,11.55314262,11.60645204,11.3854273,11.53746704,11.07197329
NFYC-AS1,8.019092054,8.397048548,7.922792676,7.993132959,8.168620334,7.858731116,7.845107695,7.805247074,7.728561406
NGDN,9.3278644,9.710020996,9.575557448,9.639325772,9.514254633,9.592058235,9.154032208,9.364014462,9.397809746
NGEF,10.76907147,10.68132534,10.94294946,10.67190994,11.07389098,11.08435636,10.38116566,10.64910697,10.46729347
NGF,5.747724792,5.731967914,7.405922963,7.124764974,5.876104227,6.031115419,5.644396415,5.934944458,7.443778847
NGFR,9.003624471,8.794302898,8.672144555,8.467927001,8.309614017,8.291652459,8.220374663,9.510541419,9.556099508
NGLY1,10.24539886,10.69227151,10.4977704,10.52691309,10.40069579,10.43137123,10.18570867,10.29571379,10.43687731
NGRN,11.84914686,11.83496063,11.83818282,11.87240733,11.81237534,11.87779057,11.63807334,11.83183015,11.9354139
NHEJ1,10.60390433,11.13017168,10.84352224,10.80167468,10.95659479,10.94913203,10.74892481,11.07807404,10.74579296
NHLRC1,6.411467652,6.250355367,6.167347055,6.000423773,6.417217857,6.031115419,5.950999193,6.333090763,5.132698699
NHLRC2,11.4072207,11.34468343,11.27396247,11.26561192,11.2967661,11.26589238,11.30811855,11.26230353,11.08931107
NHLRC3,11.10848431,11.16568915,11.0297478,10.92836944,11.0795728,11.03058824,10.97818132,11.01934645,10.90697554
NHLRC4,9.653801951,9.372673124,9.013823439,8.897080038,9.384361362,9.165422677,8.228818615,9.573035634,8.93018956
NHP2,10.3702682,10.29034085,10.35116516,10.40242336,10.4491432,10.42301428,10.37425113,10.456033,10.33630307
NHS,12.25999407,12.13943258,12.22407702,12.17038554,12.18757754,12.01797058,12.23710951,12.1350021,12.28369409
NHS-AS1,7.945905289,8.66035641,8.28563428,8.027358449,8.064543744,8.071410126,8.182994771,8.215410364,8.11148312
NHSL1,12.63206852,12.75221,12.6631086,12.7569561,12.8592169,12.90863087,11.96623719,12.57207275,12.30760126
NHSL2,9.33183838,9.340185428,9.269783194,9.375709769,9.176861781,9.212730017,9.27725346,9.496765026,9.395428064
NICN1,10.97718263,10.95363805,11.02162042,11.00050851,10.96156037,11.03486966,10.93036021,10.97784108,10.6423171
NID1,12.74533618,12.56578325,13.08106231,12.65308157,12.40404667,12.30292115,12.68655143,12.60534529,12.52693129
NID2,11.00584595,11.07104482,10.80454742,10.90161185,10.72089427,10.68282595,10.88989663,11.37422126,10.56537294
NIF3L1,9.647080329,9.927828943,9.583800866,9.668078419,9.569397562,9.565516534,9.52136181,9.510541419,9.51250892
NIFK,8.393449898,8.291343662,8.266514349,8.405603152,8.113977339,8.006701691,8.069513571,7.892156785,8.396566788
NIFK-AS1,8.252273458,8.296955586,7.979865892,8.177456072,8.058084216,8.131480971,7.723697978,7.90292798,7.35079731
NIN,11.8275208,11.9399428,11.64230931,11.59516884,11.66574466,11.72918746,11.52559523,11.5621837,11.61771859
NINJ1,12.19881953,11.8853512,11.98588008,12.12943425,12.29976414,12.14799401,12.23961252,12.25802457,12.22407702
NINJ2,6.387539847,6.493496133,6.025026039,6.191338926,5.961152606,5.929400076,6.623160835,6.365736356,6.46922262
NINL,12.75260983,12.81001655,12.73086258,12.91096095,12.90776476,13.06799855,12.67018054,13.07743536,12.60372368
NIP7,9.101999682,9.499418555,9.355048954,9.083001219,9.311722017,9.027400408,9.382855415,9.409859556,9.693886898
NIPA1,10.32957895,10.52909682,10.48814337,10.37240216,10.54882522,10.32838094,10.3794584,10.33089512,10.51957703
NIPA2,10.43566691,10.44003872,10.50789157,10.40242336,10.41618819,10.39042285,10.48388889,10.46487764,10.77653869
NIPAL1,8.370369518,7.877331221,8.157700979,8.343926461,8.546500579,7.938082304,8.475815361,8.060374503,9.460984071
NIPAL2,9.543397624,9.310175794,9.694044896,9.4653629,9.440934,9.612504158,9.581367716,9.378758077,9.449423052
NIPAL3,11.51296574,11.43484216,11.35674566,11.37422126,11.36094223,11.4654675,11.59301353,11.26709672,11.21206308
NIPAL4,2.983332323,4.263050366,4.984411315,4.484042832,3.612535778,3.425129685,4.921480383,4.196658937,4.877217949
NIPBL,12.84830219,12.84830219,12.73596462,12.72427218,12.64006433,12.69357918,12.45474096,12.51637998,12.68370607
NIPBL-AS1,9.855241385,9.169920134,9.455393603,9.202190863,9.711648965,9.66421609,9.632953827,9.444616057,9.467267949
NIPSNAP1,13.04718706,13.14466024,13.17293637,13.13368907,13.22651271,13.18858867,12.87630516,13.25039281,12.92258517
NIPSNAP3A,9.141098614,9.043697473,8.849117983,9.112120155,9.09361096,8.946933968,8.964348138,9.273928289,9.250463792
NIPSNAP3B,8.933420245,8.56212319,8.59047115,8.716802642,8.778940923,8.575019235,8.147699315,8.244451863,8.020436309
NISCH,13.17293637,12.91590872,13.02138208,12.97755395,12.95769617,13.02559784,13.15009891,13.05115152,12.90929135
NIT1,11.34896701,11.44152361,11.45462825,11.2991886,11.4576547,11.5504052,11.30693649,11.32427107,11.24265584
NIT2,11.9557293,12.14583239,12.0585604,11.86807206,12.19420853,12.22345891,11.54710883,11.82957912,11.74101317
NKAIN3,6.586085629,6.274879409,6.817177418,6.641273801,7.568732379,5.795291497,6.074579418,6.333090763,6.579597211
NKAIN4,10.2028885,7.535315213,9.080126113,10.25489399,10.22257406,9.192116828,10.50510613,9.911849919,8.388127526
NKAP,9.177259143,9.111324224,8.938904498,9.102665188,8.979149827,9.094119781,8.905588824,9.003624471,9.106108941
NKAPP1,7.625666287,8.291343662,8.115058826,8.144453792,8.011660576,8.138645093,8.103703807,7.846602908,7.106119391
NKD1,9.896202224,9.499418555,9.968910888,9.395215078,9.174035515,9.502528127,9.511539079,9.359828026,9.657471531
NKD2,9.123277672,8.369068823,8.974557643,9.083001219,9.653496871,8.862693034,10.1032079,9.808682991,9.415227511
NKG7,7.119459978,6.882626786,6.528673242,7.169778796,5.917168413,7.053640086,6.188392153,5.9731009,7.148126564
NKILA,5.407554566,6.955624051,7.08718138,6.000423773,6.339313716,6.885362965,6.589010108,6.004504069,6.772566719
NKIRAS1,9.101999682,9.405764591,9.168749786,9.14737694,9.198419574,9.002498216,8.994611045,8.91963754,9.308037604
NKIRAS2,10.30915549,10.24123174,10.47933426,10.43061855,10.36707554,10.56771952,10.59031711,10.36965251,10.47820967
NKPD1,5.331806313,5.939394505,5.104620564,5.209824596,6.312456567,5.569897532,6.074579418,5.73481038,5.795291497
NKRF,9.185976655,9.42432604,9.134555354,9.32212856,9.360584149,9.002498216,9.263046819,9.158722109,9.285822234
NKTR,12.64851722,12.64924086,12.44307144,12.53968575,12.4614997,12.45474096,12.32713766,12.29856621,12.53321943
NKX3-1,6.621083709,6.529064972,6.550865164,6.661804291,6.779945146,6.79496561,6.641273801,6.737159978,7.385737421
NLE1,9.091738044,9.555254475,8.900971005,9.314165171,9.334145615,9.103775753,9.144368465,9.304758734,8.935167728
NLGN1,9.125393634,9.543761877,9.411232574,9.38129726,9.348061225,9.27348399,9.288235113,9.074261448,9.316609763
NLGN1-AS1,7.400874194,7.60020961,7.405922963,7.153837311,7.729844758,7.164266387,7.481172154,7.151328592,7.571725633
NLGN2,10.4942274,9.911455505,10.62536187,10.63695372,10.41381221,10.17374965,10.94189339,10.77474577,10.55134159
NLGN3,7.56756555,6.274879409,7.031700521,7.210470429,7.14907289,6.844261997,7.273205524,7.066139899,7.198761189
NLGN4X,7.300469063,7.185520634,7.003222319,7.297307195,6.820703261,5.929400076,6.882126383,6.52083266,7.184687087
NLGN4Y,9.479734165,9.539422924,0.404162917,9.851074452,1.654634553,9.470660077,9.506917717,9.317351015,9.205251269
NLK,10.92496094,10.9722291,10.95874455,11.1357166,10.96696468,11.09316206,11.22737274,11.06311333,11.17548064
NLN,10.21032733,10.30841127,9.859279835,10.10287817,10.03289263,9.994304451,9.926584655,9.957007048,10.37438066
